Question,Answer,Quotes
كيف يتكيّف دماغ مدمن القهوة مع تأثير الكافيين؟,بزيادة مستقبلات الأدينوسين.,"[{'text': 'لما بتشرب كوبايه القهوه ، الكافيين بيرتبط بمستقبلات الادينوسين في الدماغ ، وده بيخلي الكافين ياخد مكان الادينوسين جوه دماغك', 'start_char': 1568, 'end_char': 1691}, {'text': 'الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 2000, 'end_char': 2075}]"
,,
إيه اللي الجسم بيفرزه لما الكافيين بياخد مكان الأدينوسين في الدماغ؟,ادرينالين,"[{'text': 'الجسم بيبدا يفرز ادرينالين يحل محل الادينوسين', 'start_char': 1667, 'end_char': 1713}]"
ما المادتان المسؤولتان عن اليقظة والسعادة بتأثير الكافيين؟,الأدرينالين والدوبامين,"[{'text': 'الجسم بيبدا يفرز ادرينالين يحل محل الادينوسين . وبالتالي النتيجه النهائيه بتكون ان الادرينالين يكون هو اللي موجود مع الكافيين', 'start_char': 1546, 'end_char': 1665}, {'text': 'الدوبامين هو اللي بيحفز الدماغ على الشعور بالنشاط والسعاده .', 'start_char': 2420, 'end_char': 2484}]"
,,
إيه هو التصنيف العالمي للكافيين كأكثر مادة مستخدمة؟,المادة ذات التأثير النفسي.,"[{'text': 'يعتبر الكافيين هو الماده ذات التاثير النفسي الاكثر استخداماً في العالم كله', 'start_char': 573, 'end_char': 645}]"
إيه الفرق بين آلية تأثير الكافيين على اليقظة والصداع؟,حجب مستقبلات وتقليل تدفق.,"[{'text': 'الكافيين بيرتبط بمستقبلات الادينوسين في الدماغ', 'start_char': 1399, 'end_char': 1443}, {'text': 'الكافيين بيقلل من تدفق الدم للمخ', 'start_char': 2458, 'end_char': 2489}]"
إيه الآلية الأساسية اللي بيها الكافيين بيقلل الشعور بالنعاس في الدماغ؟,بياخد مكان الأدينوسين.,"[{'text': 'الكافين بيشبه في البنيه الكيميائيه بتاعته ماده بتتكون في الدماغ اسمها الادينوسين . والماده دي هي اللي بتخلي الانسان يشعر بالنعاس', 'start_char': 1281, 'end_char': 1406}, {'text': 'لما بتشرب كوبايه القهوه ، الكافيين بيرتبط بمستقبلات الادينوسين في الدماغ ، وده بيخلي الكافين ياخد مكان الادينوسين جوه دماغك', 'start_char': 1458, 'end_char': 1599}]"
إيه هو متوسط استهلاك الفرد للكافيين على مستوى العالم؟,من 110 مل غرام لي 300 مل غرام.,"[{'text': 'متوسط استهلاكه على مستوى العالم من 110 مل غرام لي 300 مل غرام', 'start_char': 1073, 'end_char': 1135}]"
ماذا يحدث لتأثير الكافيين عند استهلاك مدمن لنفس جرعة غير المدمن؟,يصبح تأثيره أضعف,"[{'text': 'الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 2314, 'end_char': 2404}, {'text': 'وهو ده السبب اللي بيخلي مدمنين القهوه عايزين منها كميات اكبر دائماً علشان بس يحصلوا على نفس التاثير اللي ممكن فنجان قهوه صغير يعمله في واحد مش بيشرب القهوه كتير', 'start_char': 2407, 'end_char': 2568}]"
إيه نوع الوظائف العقلية اللي الكافيين بيغيرها بشكل مؤقت؟,الوظائف المزاجية والسلوكية والإدراكية.,"[{'text': 'بالاضافه لكونه واحد من المواد اللي بتعمل تغيير مؤقت في وظائف المخ . فهتلاقي بياثر على وظائف المخ من حيث المزاج والسلوك والادراك', 'start_char': 778, 'end_char': 903}]"
ما نسبة البالغين عالميًا الذين يستهلكون كميات كبيرة من الكافيين؟,مش اقل من 80 %.,"[{'text': 'ومش اقل من 80 % من البالغين على مستوى العالم كله بيستهلك كميات كبيره منه', 'start_char': 442, 'end_char': 517}]"
ليه المتحدث بدأ كلامه بسمعة شيكاغو السيئة؟,ليوضح حقيقتها الحالية.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو . لكن يا ترى شيكاغو دلوقتي شكلها عامل ايه ؟', 'start_char': 54, 'end_char': 232}, {'text': 'خدت بالي ان الشعب هناك رايق جدا ، الناس جميله في الشارع ، الناس بجد متعاونه وبتساعد .', 'start_char': 401, 'end_char': 489}]"
إيه هو انطباع المتحدث عن مباني وشوارع شيكاغو؟,إنها جميلة ومنظمة.,"[{'text': 'مدينه غاية في الجمال والروعه', 'start_char': 1073, 'end_char': 1101}, {'text': 'المباني فيها ونظامها والشوارع بتاعتها نظام غير عادي بصراحه', 'start_char': 1104, 'end_char': 1166}]"
ما هو ترتيب اقتصاد شيكاغو في أمريكا بحسب الڤيديو؟,ثالث أكبر اقتصاد,"[{'text': 'شيكاغو من اهم المدن الامريكيه ، حرفيا ثالث اكبر اقتصاد في امريكا كلها .', 'start_char': 236, 'end_char': 305}]"
إيه الرابط بين ريادة شيكاغو المعمارية ومكانتها الاقتصادية؟,انعكاس لقوتها الاقتصادية,"[{'text': 'ثالث اكبر اقتصاد في امريكا كلها', 'start_char': 188, 'end_char': 219}, {'text': 'اول نطحه سحاب في العالم طلعت من شيكاغو هنا', 'start_char': 335, 'end_char': 380}]"
,,
بحسب الفيديو، إيه هي الأسماء المختلفة اللي اتقالت على تمثال كلاود جيت؟,البقليله، البينز أو الكلاود جيت.,"[{'text': 'البقليله اللي موجوده دي او البينز او الكلاود جيت', 'start_char': 1433, 'end_char': 1480}]"
كيف تستغل شيكاغو إرثها المعماري لجذب الزوار؟,كمنصات لمشاهدة المدينة,"[{'text': 'طبعا شيكاغو كلها ناطحات سحاب وهحكي لكم ليه لان اول نطيحه سحاب في العالم طلعت من شيكاغو هنا .', 'start_char': 1837, 'end_char': 1925}, {'text': 'وعشان كده المكان اللي هنروحوا دلوقتي هو واحد من اهم الاماكن في شيكاغو عشان نشوف شيكاغو كله من فوق من ناطحه سحاب منهم .', 'start_char': 1995, 'end_char': 2110}]"
,,
ما هو اسم أغلى شارع في شيكاغو بحسب ما ورد في الڤيديو؟,جولد كوست,"[{'text': 'اغلى شوارع المدينه اسمه جولد كوست', 'start_char': 483, 'end_char': 516}]"
كيف يعكس اختيار المتحدث لوجهته الأخيرة تصوراً مختلفاً لشيكاغو؟,بإبراز هويتها المعمارية الحديثة.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره', 'start_char': 66, 'end_char': 161}, {'text': 'طبعا شيكاغو كلها ناطحات سحاب وهحكي لكم ليه لان اول نطيحه سحاب في العالم طلعت من شيكاغو هنا .', 'start_char': 1419, 'end_char': 1515}, {'text': 'وعشان كده المكان اللي هنروحوا دلوقتي هو واحد من اهم الاماكن في شيكاغو عشان نشوف شيكاغو كله من فوق من ناطحه سحاب منهم', 'start_char': 1572, 'end_char': 1681}]"
إيه السمة اللي وصف بيها المتحدث تعامل الناس في شيكاغو؟,التعاون والمساعدة.,"[{'text': 'الناس بجد متعاونه وبتساعد .', 'start_char': 468, 'end_char': 489}]"
إيه هي مكونات الساندوتش اللي أكله المتحدث في الفطار؟,كرواسان محشي تونة وزبيب وعليه جبنة شيدر سايحة.,"[{'text': 'هم جايبين كروسان وقاطعينه نصين ، وأخدين الجزء فيه من اللي من فوق حاطين فيه التونه والزبيب وعليها شيدر من فوق سايحه .', 'start_char': 834, 'end_char': 951}]"
إيه في مباني شيكاغو بيخالف سمعتها القديمة؟,أول ناطحة سحاب بالعالم,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو', 'start_char': 58, 'end_char': 182}, {'text': 'اول نطحه سحاب في العالم طلعت من شيكاغو هنا', 'start_char': 318, 'end_char': 362}]"
بناءً على تعريف المتحدث بنفسه، ما هي طبيعة رحلاته؟,استكشافية ومغامِرة.,"[{'text': 'ولو اول مره تتفرج علينا فانا شريف نبيل مسافر مغامر مصري بتاع اكشن نجوب العالم نحكي قصص الناس وثقافات الناس ونشوف اغرب الحاجات واحنا مسافرين .', 'start_char': 554, 'end_char': 695}]"
بحسب الفيديو، ما هو اسم العصابة الشهيرة في شيكاغو؟,عصابه الكابون المعروفه باسم مافيا شيكاغو.,"[{'text': 'عصابه الكابون المعروفه باسم مافيا شيكاغو', 'start_char': 159, 'end_char': 200}]"
ليه ممكن ريال مدريد يقلد سياسة فليك مع المصابين؟,لضمان استشفائهم الكامل,"[{'text': 'واعتقد ان ريال مدريد بسبب تعدد الاصابات على مستوى الموسم الحالي هو مش هيستعجل عودة أي لعيب وجايز نشوف طريقه شبيهه بطريقه هانز فليك على مستوى التعامل مع اللاعيبه .', 'start_char': 462, 'end_char': 601}, {'text': 'هانز فليك زي ما لاحظنا على مستوى الاصابات مش من نوعيه المديرين الفنيين اللي بيستعجل عوده اللعيبه . بيحب ان كل لاعب ياخد وقته تماما في عمليه الاستشفاء .', 'start_char': 1111, 'end_char': 1276}]"
إيه هو وضع ليفربول في ترتيب الدوري الإنجليزي؟,في الصدارة.,"[{'text': 'الفريق المتصدر فريق ليفربول واللي بفارق تمن نقاط كاملين عن الفريق اللي موجود في المركز التاني فريق مانشستر سيتي .', 'start_char': 2137, 'end_char': 2260}]"
كم يبلغ فارق النقاط بين فريق ليفربول وفريق مانشستر سيتي؟,تمن نقاط كاملين.,"[{'text': 'بفارق تمن نقاط كاملين', 'start_char': 2167, 'end_char': 2188}]"
ليه معاناة ليفربول بماتش بالاس كانت مؤشر خطر؟,لأن جدولهم القادم صعب,"[{'text': 'بمعنى ان فريق ليفربول اللي استفاد من الجدول المتوسط اللي كان موجود في بدايه الموسم هيجي على دماغه من بعد العوده من التوقف الدولي انه هيدخل اختبارات شقه وقاسيه ورا بعض', 'start_char': 792, 'end_char': 955}, {'text': 'ولكن تناوب لعيبه الخط الامامي على تضييع الفرص هو كالعاده اللي كان سبب في ان ليفربول في ماتش المفروض ان هو كان نظريا سهله عليه اتعقد اكتر واكتر', 'start_char': 1696, 'end_char': 1819}]"
إزاي تم وصف تفكير ليفربول في بدء سياسة المدورة؟,منطقياً.,"[{'text': 'عشان كده فريق ليفربول هو كان عنده تفكير منطقي انه بدا يفكر في سياسه المدوره بدايه من المباراه قصاد فريق كريستال بالاس .', 'start_char': 1007, 'end_char': 1122}]"
إيه سبب غياب الحارس البديل كيليهر عن فريق ليفربول؟,إنه مريض وليس مصاب.,"[{'text': 'الراجل المفروض ان هو مريض مش مصاب', 'start_char': 546, 'end_char': 578}]"
إيه كانت نتيجة سياسة المداورة على هجوم ليفربول؟,إضاعة العديد من الفرص,"[{'text': 'عشان كده فريق ليفربول هو كان عنده تفكير منطقي انه بدا يفكر في سياسه المدوره بدايه من المباراه قصاد فريق كريستال بالاس .', 'start_char': 1116, 'end_char': 1238}, {'text': 'ولكن تناوب لعيبه الخط الامامي على تضييع الفرص هو كالعاده اللي كان سبب في ان ليفربول في ماتش المفروض ان هو كان نظريا سهله عليه اتعقد اكتر واكتر', 'start_char': 1783, 'end_char': 1934}]"
إيه الميزة الجسدية اللي بيمتلكها ماتيتا على كوتيه؟,الطول.,"[{'text': 'يعني ماتيتا اعتقد ده اللاعيب الوحيد اللي في الكوكب الاطول من كوتيه اساسا', 'start_char': 1585, 'end_char': 1657}]"
إزاي تم وصف مستوى الحارس التالت جاروس في المباراة؟,مستوى مقبول.,"[{'text': 'مستوى مقبول', 'start_char': 180, 'end_char': 191}]"
ما النتيجة غير المقصودة لسياسة تدوير ليفربول ضد بالاس؟,تضييع فرص الخط الأمامي,"[{'text': 'عشان كده فريق ليفربول هو كان عنده تفكير منطقي انه بدا يفكر في سياسه المدوره بدايه من المباراه قصاد فريق كريستال بالاس .', 'start_char': 1358, 'end_char': 1476}, {'text': 'ولكن تناوب لعيبه الخط الامامي على تضييع الفرص هو كالعاده اللي كان سبب في ان ليفربول في ماتش المفروض ان هو كان نظريا سهله عليه اتعقد اكتر واكتر', 'start_char': 1902, 'end_char': 2041}]"
,,
إيه المدة اللي ممكن يحتاجها أليسون للراحة بسبب إصابته؟,ممكن اكتر من تلات او اربع اسابيع.,"[{'text': 'ممكن اكتر من تلات او اربع اسابيع', 'start_char': 374, 'end_char': 405}]"
إيه العلاقة بين المداورة واختبار تطور ليفربول؟,المداورة تحضير للاختبار,"[{'text': 'هيدخل اختبارات شقه وقاسيه ورا بعض هتحدد فعلا اذا كان الفريق مع ارني سلوت قدر ان هو يتطور ولا لسه الفريق قدامه شويه عشان يقدر ان هو يحسن اموره .', 'start_char': 987, 'end_char': 1147}, {'text': 'عشان كده فريق ليفربول هو كان عنده تفكير منطقي انه بدا يفكر في سياسه المدوره بدايه من المباراه قصاد فريق كريستال بالاس .', 'start_char': 1221, 'end_char': 1345}]"
إزاي تم وصف حالة فريق كريستال بالاس تحت قيادة جلاسنر؟,مُثيرة للتساؤل.,"[{'text': 'ويمكن حاله كريستال بالاس دي واحده من الحاجات اللي عليها علامات استفهام كتيره', 'start_char': 1386, 'end_char': 1464}]"
مين اللي صعب الماتش على ليفربول قصاد كريستال بالاس حسب النص؟,ليفربول هو اللي صعب الماتش على نفسه.,"[{'text': 'ليفربول هو اللي كان مصعب المباراه على نفسه', 'start_char': 1704, 'end_char': 1744}]"
ما هو الخطر المحتمل الذي كان يتجنبه المدرب بسياسة التدوير؟,إرهاق اللاعبين,"[{'text': 'هيدخل اختبارات شقه وقاسيه ورا بعض هتحدد فعلا اذا كان الفريق مع ارني سلوت قدر ان هو يتطور ولا لسه الفريق قدامه شويه عشان يقدر ان هو يحسن اموره .', 'start_char': 887, 'end_char': 965}, {'text': 'عشان كده فريق ليفربول هو كان عنده تفكير منطقي انه بدا يفكر في سياسه المدوره بدايه من المباراه قصاد فريق كريستال بالاس .', 'start_char': 966, 'end_char': 1072}]"
إيه اللي حصل للمباراة اللي كانت نظرياً سهلة على ليفربول؟,ازدادت صعوبتها.,"[{'text': 'ان ليفربول في ماتش المفروض ان هو كان نظريا سهله عليه اتعقد اكتر واكتر', 'start_char': 1790, 'end_char': 1860}]"
مين اللاعب المتوقع يرجع ليكون الحارس الأساسي لليفربول؟,كيليهير.,"[{'text': 'ومتوقع ان كيليهير يرجع مره تانيه يكون الحارس الاساسي لفريق ليفربول فيما هو قادم .', 'start_char': 599, 'end_char': 681}]"
كيف يختلف نهج بناء الفريق بين برشلونة وريال مدريد؟,برشلونة بالناشئين ومدريد بالصفقات.,"[{'text': 'بص النهارده ريال مدريد على مدار تاريخه لم يستغل قطاع الناشئين بتاعه . تبص وتتعلم النهارده اكاديميه اللمسيه .', 'start_char': 1114, 'end_char': 1205}, {'text': 'الازمه الماليه اللي جت لها دي جت لها نجده انها ما تجيبش لعيبه نجده انها ما تجيبش لعيبه وتطلع اللاعيبه اللي عندها', 'start_char': 1716, 'end_char': 1812}]"
بِمَ وصف المتحدث رئاسة فلورنتينو بيريز التاريخية؟,بالأفضلية.,"[{'text': 'فلورنتينو بيريز هو اعظم رئيس نادي جه في تاريخ العالم كله', 'start_char': 669, 'end_char': 718}, {'text': 'فلورنتينو بيريز هو فعلا انا بالنسبه لي هو افضل رئيس نادي تاريخي جا في كره القدم', 'start_char': 748, 'end_char': 826}]"
وصف المتحدث مشكلة برشلونة مع تشافي بإنها مشكلة إيه؟,مشكلة مدرب.,"[{'text': 'المشكله مشكله مدرب', 'start_char': 272, 'end_char': 289}]"
إيه اللي أجبر برشلونة على سياسته المختلفة عن ريال مدريد؟,الأزمة المالية.,"[{'text': 'الازمه الماليه اللي جت لها دي جت لها نجده انها ما تجيبش لعيبه نجده انها ما تجيبش لعيبه وتطلع اللاعيبه اللي عندها', 'start_char': 1735, 'end_char': 1827}]"
,,
كم عدد لاعبي اللامسيا الذين شاركوا في المباراة حسب وصف المتحدث؟,ست لاعيبه.,"[{'text': 'انت بتتكلم في ست لاعيبه النهارده من 11 لعيبة', 'start_char': 1390, 'end_char': 1432}]"
إزاي الأزمة المالية فادت برشلونة؟,أجبرتهم على تصعيد الناشئين.,"[{'text': 'الازمه الماليه اللي جت لها دي جت لها نجده انها ما تجيبش لعيبه وتطلع اللاعيبه اللي عندها اقسم بالله العظيم احلى مليار مره من اللعيب', 'start_char': 1892, 'end_char': 2009}]"
إيه اللي ميّز ماتش برشلونة الأخير عن باقي ماتشات الموسم من وجهة نظر المتحدث؟,الأفضلية.,"[{'text': 'انا انا النهارده احلى مباراه في الموسم بالكامل لبرشلونه', 'start_char': 1251, 'end_char': 1303}, {'text': 'شوف بقى افضل مباراه هذا الموسم لبرشلونه', 'start_char': 1342, 'end_char': 1380}]"
وصف المتحدث مركز لعب مارك كاسادو ضد ريال مدريد بإنه إيه؟,ديفندر وحيد.,"[{'text': 'بيلعب ديفندر وحيد قدام عمالقه ريال مدريد النهارده', 'start_char': 585, 'end_char': 631}]"
إيه المصدر اللي كوّن أغلبية التشكيلة الأساسية لبرشلونة حسب ما ورد في المقطع؟,أكاديمية النادي للناشئين، لاماسيا.,"[{'text': 'تبص وتتعلم النهارده اكاديميه اللمسيه . بص النهارده اللمسيه بتعمل ايه النهارده', 'start_char': 1130, 'end_char': 1192}, {'text': 'انت بتتكلم في ست لاعيبه النهارده من 11 لعيبة . ست لاعيبه لمسيه النهارده .', 'start_char': 1326, 'end_char': 1400}]"
,,
المباراة اللي وصفها المتحدث اتلعبت فين؟,في الجوهره المشعه في السعوديه.,"[{'text': 'في الجوهره المشعه في السعوديه', 'start_char': 1171, 'end_char': 1199}]"
