Question,Answer,Quotes
إيه اللي استنتجه المتحدث عن أسعار بعض الفواكه النادرة في فيتنام؟,إنها رخيصة.,"[{'text': 'دراجون فروت مرميه في الارض .', 'start_char': 868, 'end_char': 895}, {'text': 'متخيلين دي بتتحط عندنا بتتحط جوه التلاجه ، مقفول عليها وحاطين سعر مثلا ايه 1000 جنيه', 'start_char': 897, 'end_char': 981}, {'text': 'مرميه في الارض الجاك فروت مرميه في الارض .', 'start_char': 1018, 'end_char': 1062}]"
المتحدث كان ممكن يشتري الجاك فروت بكام؟,بدولار واحد,"[{'text': 'بدولار واحد', 'start_char': 620, 'end_char': 631}]"
إزاي شركة الضمان بتكسب من المستهلك حسب كلام الخبير؟,بتاخد فلوس لخدمة نادرة.,"[{'text': 'فكل بساطه الضمان عمل منك فلوس على ولا حاجه', 'start_char': 2004, 'end_char': 2043}, {'text': 'وعقبال بقى لما الحاجه تبوظ علشان يعني تاريخ صلاحيتها خلص بكل بساطه ، هيكون كده كده الضمان بتاعك خلص .', 'start_char': 2046, 'end_char': 2155}]"
إيه طبيعة العلاقة بين الشركة المُصنّعة وشركة الضمان حسب ما اتقال؟,علاقة تعاون.,"[{'text': 'الشركه الاساسيه بتكون متعاونه مع شركه الضمان دي', 'start_char': 2419, 'end_char': 2466}]"
إيه كان رأي مرات المتحدث في صوت التلاجة؟,ده شيء مرفوض تماما,"[{'text': 'ده شيء مرفوض تماما', 'start_char': 123, 'end_char': 141}]"
إزاي تجربة المتحدث بتأكد نظرية الخبير عن الضمان؟,الشركة كسبت بدون خدمة.,"[{'text': 'دورت اكتر عشان افهم الفكره بتاعه الضمان اللي انا دفعت فلوسه على الفاضي ده', 'start_char': 504, 'end_char': 574}, {'text': 'فكل بساطه الضمان عمل منك فلوس على ولا حاجه', 'start_char': 1215, 'end_char': 1259}]"
,,
إيه اللي اكتشفه المتحدث عن سبب صوت التلاجة الجديدة؟,ان ده شيء عادي جدا ان في معظم الاوقات اي تلاجه جديده بتتركب ممكن تطلع صوت,"[{'text': 'ان ده شيء عادي جدا ان في معظم الاوقات اي تلاجه جديده بتتركب ممكن تطلع صوت', 'start_char': 444, 'end_char': 519}]"
إيه العلاقة المالية بين الشركة المصنعة وشركة الضمان؟,الشركة المصنعة بتمولهم.,"[{'text': 'الشركة الاساسيه بتكون متعاونه مع شركه الضمان دي اللي عندها الناس اللي بتصلح وبيدوا لهم فلوس علشان شركة الضمان دي تكون مديه الضمان ليك انت المستهلك', 'start_char': 2320, 'end_char': 2470}]"
,,
إيه كان شعور المتحدث تجاه عملية التواصل مع شركة الضمان؟,الموضوع كان رزل صراحه,"[{'text': 'الموضوع كان رزل صراحه', 'start_char': 281, 'end_char': 301}]"
إيه المفارقة في العلاقة بين المستهلك وشركة الضمان حسب النص؟,حرص العميل مكسب للشركة.,"[{'text': 'فالعادي عند الناس عشان تتجنب ان الشيء ده يحصل ، الموقف ده يحصل ، ان هم بيخلوا بالهم من الحاجه بتاعتهم .', 'start_char': 1245, 'end_char': 1353}, {'text': 'فالضمان بيعتمد عليك انت المستهلك العاقل اللي اكيد 100 % مش هيبوظ الحاجه بتاعته . فكل بساطه الضمان عمل منك فلوس على ولا حاجه', 'start_char': 1435, 'end_char': 1555}]"
إيه اللي خلى المتحدث يحس إن الشركة مش هممها تجربة العميل؟,الموال بتاع التصليح.,"[{'text': 'فليه كل الموال ده علشان اكلم حد يجي يصلحها ؟', 'start_char': 483, 'end_char': 528}]"
إيه الحدث الشخصي اللي الخبير بيمر بيه حاليًا؟,انا حاليا بتجوز خلاص,"[{'text': 'انا حاليا بتجوز خلاص', 'start_char': 836, 'end_char': 855}]"
إزاي شركة الضمان بتكسب مع إن التصليح مجاني؟,بتاخد فلوس ومبتصلحش كتير,"[{'text': 'فالضمان بيعتمد عليك انت المستهلك العاقل اللي اكيد 100 % مش هيبوظ الحاجه بتاعته . فكل بساطه الضمان عمل منك فلوس على ولا حاجه', 'start_char': 1618, 'end_char': 1739}, {'text': 'وبيدوا لهم فلوس علشان شركة الضمان دي تكون مديه الضمان ليك انت المستهلك', 'start_char': 2106, 'end_char': 2177}]"
إيه اللي بيحصل لما المستهلك بيصلح جهازه بعد الضمان؟,التصليح بيكون مدفوع.,"[{'text': 'فلما هتيجي تصلحها هتدفع فلوس برده فما فرقتش .', 'start_char': 2158, 'end_char': 2202}]"
حسب النص، مين المسؤول عن تصليح الأجهزة اللي عليها ضمان؟,شركه الضمان دي اللي عندها الناس اللي بتصلح,"[{'text': 'شركه الضمان دي اللي عندها الناس اللي بتصلح', 'start_char': 2453, 'end_char': 2492}]"
إيه النتيجة النهائية للحرب النفسية اللي بيشنها الأعداء حسب كلام المتحدث؟,القتل المعنوي للناس.,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل .', 'start_char': 799, 'end_char': 904}, {'text': 'او تعتبر ان انا بعترف ان هم قتلوا الروح بتاعتنا وهم فازوا', 'start_char': 1414, 'end_char': 1466}]"
ما هو وصف شعور المتحدث تجاه عمل هذا الفيديو؟,شعر بأنه إلزامي.,"[{'text': 'بل انا حاسس ان انا لازم اعمل فيديو زي ده', 'start_char': 112, 'end_char': 149}]"
كم عدد الشهداء في غزة اللي وصل له الرقم حسب كلام المتحدث؟,000'40,"[{'text': ""عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40"", 'start_char': 1599, 'end_char': 1660}]"
إزاي تجربة المتحدث بتوضح نجاح استراتيجية الأعداء الإعلامية؟,تأثره قل بالأعداد الكبيرة,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل .', 'start_char': 403, 'end_char': 481}, {'text': ""دلوقتي حالا لما انت بتسمع رقم ان عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40 , الموضوع ما بيهزكش من جوه زي ما كان بيهزك ويخليك ما بتعرفش تنام اول لما بدا خالص ."", 'start_char': 757, 'end_char': 928}]"
إيه الظاهرة اللي المتحدث بيحاول يفسرها في الفيديو؟,التعود على البشاعة,"[{'text': 'هنشرح الفكره بتاعه ازاي احنا تعودنا على الحاجات الصعبه الكتيره', 'start_char': 573, 'end_char': 643}, {'text': 'وازاي احنا فعلا مع الوقت ممكن نتعود على حاجات في منتهى البشاعه', 'start_char': 685, 'end_char': 758}]"
المتحدث بيوصف قناته بإنها إيه؟,المدونه البصريه بتاعتي,"[{'text': 'القناه دي محمود اسماعيل تي في من لما بدات لحد يومنا هذا وهي المدونه البصريه بتاعتي اللي بعمل لها ابديت وبحدثها كده هو كل اسبوع .', 'start_char': 2080, 'end_char': 2210}]"
إيه الدليل اللي ساقه المتحدث على تبلد المشاعر الجماعي؟,تضاؤل الصدمة من الأرقام,"[{'text': 'كنا نسمع رقم ان في 300 شهيد ولسه الارقام في اول كم يوم احنا ما كناش بنعرف ننام .', 'start_char': 251, 'end_char': 345}, {'text': ""دلوقتي حالا لما انت بتسمع رقم ان عدد الشهداء في غزه اللي احنا عارفينه لحد دلوقتي وصل ل 000'40 , الموضوع ما بيهزكش من جوه زي ما كان بيهزك ويخليك ما بتعرفش تنام اول لما بدا خالص ."", 'start_char': 1045, 'end_char': 1248}]"
ليه رد الفعل الجماعي على أحداث لبنان كان مختلف عن بداية أحداث غزة؟,بسبب التعود.,"[{'text': 'هنشرح الفكره بتاعه ازاي احنا تعودنا على الحاجات الصعبه الكتيره', 'start_char': 574, 'end_char': 631}]"
إيه اللي المتحدث عاوز يحفظه من خلال عمل الفيديو ده؟,اللحظه الغريبه في في التاريخ اللي احنا عايشين فيه دلوقتي,"[{'text': 'واللي عاوز فعلا احفظه واحفظ اللحظه الغريبه في في التاريخ اللي احنا عايشين فيه دلوقتي هو الموضوع ده', 'start_char': 2269, 'end_char': 2355}]"
حسب كلام المتحدث، إزاي التعود على المآسي بيخدم أعدائه؟,بيقتل الروح جواهم.,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل .', 'start_char': 881, 'end_char': 994}, {'text': 'دي ما تعتبرش انهزاميه او تعتبر ان انا بعترف ان هم قتلوا الروح بتاعتنا وهم فازوا وخلاص احنا بقينا نتعود على الارقام', 'start_char': 1533, 'end_char': 1642}]"
,,
المتحدث عاوز يفهم إزاي تم التلاعب بإيه؟,الوعي الاجتماعي لناس كتيره,"[{'text': 'وازاي اتلعب بال الوعي الاجتماعي لناس كتيره', 'start_char': 1121, 'end_char': 1163}]"
حسب المتحدث، إيه الهدف النهائي للأعداء من الحرب النفسية؟,قتل الروح المعنوية,"[{'text': 'وازاي ان الاعداء بتوعنا بيستخدموا الموضوع ده علشان يقتلونا وده جزء من الحرب السيكولوجيه والاعلاميه اللي بتحصل', 'start_char': 642, 'end_char': 745}, {'text': 'بعترف ان هم قتلوا الروح بتاعتنا وهم فازوا', 'start_char': 1419, 'end_char': 1459}]"
إزاي المتحدث وصف الحالة النفسية للعرب في بداية الحرب؟,الاهتزاز والخوف الشديد.,"[{'text': 'زي كلنا كنا مهزوزين ويعني خايفين جدا على اهلنا هناك .', 'start_char': 290, 'end_char': 342}]"
كل قد إيه المتحدث بيحدّث المدونة البصرية بتاعته؟,كل اسبوع,"[{'text': 'وهي المدونه البصريه بتاعتي اللي بعمل لها ابديت وبحدثها كده هو كل اسبوع .', 'start_char': 2136, 'end_char': 2210}]"
إيه المادة اللي بيفرزها الجسم كاستجابة ثانوية لتأثير الكافيين على الدماغ؟,الأدرينالين.,"[{'text': 'الكافيين بيرتبط بمستقبلات الادينوسين في الدماغ ، وده بيخلي الكافين ياخد مكان الادينوسين جوه دماغك', 'start_char': 1672, 'end_char': 1773}, {'text': 'ولما ما يلاقيش ، الجسم بيبدا يفرز ادرينالين يحل محل الادينوسين .', 'start_char': 1845, 'end_char': 1908}]"
,,
بنسبة كام في المية الكافيين بيقلل من تدفق الدم للمخ؟,بحوالي 27 %,"[{'text': 'الكافيين بيقلل من تدفق الدم للمخ بحوالي 27 %', 'start_char': 3058, 'end_char': 3103}]"
إيه التأثيرين المتناقضين للكافيين على دماغ الإنسان؟,تنبيه وتقليل تضخم الأوعية,"[{'text': 'الكافيين اشهر المنبهات شيوعاً واستخداماً في العالم', 'start_char': 497, 'end_char': 546}, {'text': 'الكافيين بيقلل من تدفق الدم للمخ بحوالي 27 % ، واللي بدوره بيقلل من عمليه تضخم الاوعيه الدمويه في الدماغ', 'start_char': 2314, 'end_char': 2422}]"
,,
كم يبلغ متوسط استهلاك الكافيين على مستوى العالم؟,من 110 مل غرام لي 300 مل غرام,"[{'text': 'وممكن نقول ان متوسط استهلاكه على مستوى العالم من 110 مل غرام لي 300 مل غرام .', 'start_char': 1005, 'end_char': 1076}]"
إيه علاقة التغيير الدماغي لمدمن الكافيين بإحساسه بالبهجة؟,بيقلل فاعلية الدوبامين.,"[{'text': 'الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1699, 'end_char': 1782}, {'text': 'الدوبامين بيشتغل بصوره افضل في حال انه ارتبط بالكافيين ، وده بيحصل لما بيتم منع مستقبلات الادينوسين من العمل في الدماغ', 'start_char': 1957, 'end_char': 2095}, {'text': 'الدوبامين هو اللي بيحفز الدماغ على الشعور بالنشاط والسعاده .', 'start_char': 2172, 'end_char': 2232}]"
,,
النص بيحدد نسبة الكافيين في كوباية القهوة العادية بكام؟,حوالي 95 مل غرام,"[{'text': 'وكوبايه القهوه العاديه المنتشره اليومين دول نسبه الكافيين فيها حوالي 95 مل غرام', 'start_char': 1079, 'end_char': 1162}]"
ليه مدمن القهوة بيحتاج كافيين أكتر عشان الدوبامين يشتغل؟,لزيادة مستقبلات الأدينوسين.,"[{'text': 'الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1673, 'end_char': 1761}, {'text': 'الدوبامين بيشتغل بصوره افضل في حال انه ارتبط بالكافيين ، وده بيحصل لما بيتم منع مستقبلات الادينوسين من العمل في الدماغ', 'start_char': 1944, 'end_char': 2073}]"
,,
إيه المادة اللي بتخلي الإنسان يحس بالنعاس وبتتكون في الدماغ؟,الادينوسين,"[{'text': 'الكافين بيشبه في البنيه الكيميائيه بتاعته ماده بتتكون في الدماغ اسمها الادينوسين . والماده دي هي اللي بتخلي الانسان يشعر بالنعاس', 'start_char': 1471, 'end_char': 1606}]"
بناءً على آلية عمل الكافيين، إيه ممكن يحصل لمدمن لو بطل يشرب قهوة فجأة؟,هيحس بنعاس شديد.,"[{'text': 'والماده دي هي اللي بتخلي الانسان يشعر بالنعاس', 'start_char': 1113, 'end_char': 1157}, {'text': 'الناس اللي بيستخدموا الكافيين بصوره كبيره ، مستقبلات الادينوسين في الدماغ بتزيد عندهم', 'start_char': 1709, 'end_char': 1797}]"
,,
شوت الإسبريسو الصغير بيحتوي على كام ملليجرام من الكافيين؟,حوالي 63 مل غرام من الكافيين,"[{'text': 'وشطر الاسبريسو الصغير بيحتوي على حوالي 63 مل غرام من الكافيين .', 'start_char': 1165, 'end_char': 1234}]"
إزاي تاريخ شيكاغو المعماري حدد وجهة المتحدث التالية؟,زيارة ناطحة سحاب.,"[{'text': 'اول نطيحه سحاب في العالم طلعت من شيكاغو هنا .', 'start_char': 2191, 'end_char': 2237}, {'text': 'وعشان كده المكان اللي هنروحوا دلوقتي هو واحد من اهم الاماكن في شيكاغو عشان نشوف شيكاغو كله من فوق من ناطحه سحاب منهم', 'start_char': 2289, 'end_char': 2389}]"
إيه السمة اللي لاحظها المتحدث في سكان شيكاغو؟,التعاون.,"[{'text': 'الناس بجد متعاونه وبتساعد', 'start_char': 494, 'end_char': 518}]"
إيه هي السمعة اللي ارتبطت بشيكاغو حسب كلام المتحدث؟,الجرايم والاسلحه والمخدرات والعصابات الشهيره,"[{'text': 'الجرايم والاسلحه والمخدرات والعصابات الشهيره', 'start_char': 148, 'end_char': 191}]"
إيه اللي بيخلي الكلاود جيت مكان كويس لبداية جولة في شيكاغو؟,محاط بالحدائق وناطحات السحاب.,"[{'text': 'الميزة في المكان هنا ان حواليه حديقه غايه في الجمال والروعه .', 'start_char': 1718, 'end_char': 1779}, {'text': 'فزي ما انتم شايفين كل المباني عاليه ازاي وناطحات السحاب كلها حوالينا .', 'start_char': 1872, 'end_char': 1941}]"
,,
إيه هو الترتيب الاقتصادي لمدينة شيكاغو في أمريكا؟,ثالث اكبر اقتصاد في امريكا كلها,"[{'text': 'ثالث اكبر اقتصاد في امريكا كلها', 'start_char': 281, 'end_char': 309}]"
إزاي زيارة ناطحة سحاب بتغير الصورة النمطية لشيكاغو؟,بإظهار ريادتها المعمارية,"[{'text': 'اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره', 'start_char': 125, 'end_char': 203}, {'text': 'اول نطحه سحاب في العالم طلعت من شيكاغو هنا', 'start_char': 412, 'end_char': 457}]"
إيه السمة الأساسية للأسعار في شارع جولد كوست؟,الغلاء.,"[{'text': 'واغلى شوارع المدينه اسمه جولد كوست', 'start_char': 469, 'end_char': 502}]"
حسب كلام المتحدث، إيه هو اسم عصابة شيكاغو الشهيرة؟,عصابه الكابون,"[{'text': 'عصابه الكابون', 'start_char': 195, 'end_char': 207}]"
إيه التناقض بين واقع كلاود جيت والصورة اللي ذكرها المتحدث لشيكاغو؟,أنها وجهة سياحية عالمية.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره', 'start_char': 56, 'end_char': 161}, {'text': 'هي من معالم شيكاغو ومن معالم امريكا كلها كمان', 'start_char': 1720, 'end_char': 1765}, {'text': 'اجواء عالميه 100 % مفيش كلام بعد الكلام . مكان لذيذ بصوا كميه البشر اللي واقفه بتتصور هنا قد ايه ؟', 'start_char': 1792, 'end_char': 1888}]"
إيه هي السمة المميزة لرحلات المتحدث حول العالم؟,المغامرة.,"[{'text': 'مسافر مغامر مصري بتاع اكشن نجوب العالم', 'start_char': 696, 'end_char': 738}]"
إيه هي الأسماء التانية اللي المتحدث قالها للكلاود جيت؟,البقليله اللي موجوده دي او البينز,"[{'text': 'البقليله اللي موجوده دي او البينز', 'start_char': 1705, 'end_char': 1733}]"
إزاي اتغيرت نظرة المتحدث لشيكاغو بعد زيارته ليها؟,وجد شعبها رايق ومتعاون.,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو .', 'start_char': 65, 'end_char': 179}, {'text': 'خدت بالي ان الشعب هناك رايق جدا ، الناس جميله في الشارع ، الناس بجد متعاونه وبتساعد .', 'start_char': 511, 'end_char': 597}]"
إزاي انطباع المتحدث عن نظام شوارع شيكاغو بيتناقض مع الفكرة المسبقة عنها؟,منظمة عكس سمعتها,"[{'text': 'لو قلت لك شيكاغو ، اول حاجه هتيجي في دماغك هي الجرايم والاسلحه والمخدرات والعصابات الشهيره زي عصابه الكابون المعروفه باسم مافيا شيكاغو .', 'start_char': 73, 'end_char': 219}, {'text': 'المباني فيها ونظامها والشوارع بتاعتها نظام غير عادي بصراحه .', 'start_char': 1251, 'end_char': 1312}]"
إيه هو الاسم التاني اللي اشتهرت بيه عصابة الكابون؟,مافيا شيكاغو,"[{'text': 'مافيا شيكاغو', 'start_char': 222, 'end_char': 234}]"
